iter	Passed	Remaining
0	43	433326
1	81	405075
2	105	351584
3	145	364787
4	191	383431
5	228	380177
6	269	384210
7	303	379195
8	349	388419
9	389	389337
10	445	404685
11	493	410342
12	534	410922
13	580	414127
14	627	417584
15	650	405701
16	711	417868
17	794	440417
18	881	463231
19	931	464922
20	980	465959
21	1026	465683
22	1086	471127
23	1184	492274
24	1256	501339
25	1284	492721
26	1307	483007
27	1326	472590
28	1368	470510
29	1403	466502
30	1442	464019
31	1473	459029
32	1519	458846
33	1558	456686
34	1615	460016
35	1694	469107
36	1732	466460
37	1787	468547
38	1816	464034
39	1878	467623
40	1948	473394
41	2093	496444
42	2132	493836
43	2164	489850
44	2201	487127
45	2248	486512
46	2291	485341
47	2327	482504
48	2370	481454
49	2406	478931
50	2433	474747
51	2576	492947
52	2645	496495
53	2703	498026
54	2796	505684
55	2832	502960
56	2867	500269
57	2898	496777
58	2931	493990
59	2963	490870
60	2994	487842
61	3026	485117
62	3059	482582
63	3109	482792
64	3198	488824
65	3242	488068
66	3272	485145
67	3307	483154
68	3340	480843
69	3373	478516
70	3410	476960
71	3442	474698
72	3472	472239
73	3505	470173
74	3541	468713
75	3579	467438
76	3616	466100
77	3659	465459
78	3678	461911
79	3715	460750
80	3739	457979
81	3776	456731
82	3812	455520
83	3845	453928
84	3877	452279
85	3909	450679
86	3941	449078
87	3971	447385
88	4003	445866
89	4038	444685
90	4061	442285
91	4103	441951
92	4139	440988
93	4173	439833
94	4219	439910
95	4290	442626
96	4344	443549
97	4375	442079
98	4407	440824
99	4439	439558
100	4472	438356
101	4505	437167
102	4545	436719
103	4577	435520
104	4608	434284
105	4644	433559
106	4677	432500
107	4715	431914
108	4749	430993
109	4784	430204
110	4817	429221
111	4843	427614
112	4873	426448
113	4905	425376
114	4937	424395
115	4974	423876
116	5004	422758
117	5034	421601
118	5065	420571
119	5097	419708
120	5131	418966
121	5162	418014
122	5195	417180
123	5226	416264
124	5256	415273
125	5285	414178
126	5317	413418
127	5373	414463
128	5458	417707
129	5503	417861
130	5534	416970
131	5569	416371
132	5601	415529
133	5632	414723
134	5664	413943
135	5699	413380
136	5730	412552
137	5763	411877
138	5797	411310
139	5831	410684
140	5868	410332
141	5900	409653
142	5934	409031
143	5968	408544
144	6002	407958
145	6037	407478
146	6075	407219
147	6108	406654
148	6138	405845
149	6171	405263
150	6204	404701
151	6237	404101
152	6268	403421
153	6294	402456
154	6332	402213
155	6363	401542
156	6383	400215
157	6414	399580
158	6441	398676
159	6469	397889
160	6498	397117
161	6572	399166
162	6618	399445
163	6648	398726
164	6679	398115
165	6712	397625
166	6756	397831
167	6792	397501
168	6828	397241
169	6863	396853
170	6896	396408
171	6928	395908
172	6964	395621
173	7001	395375
174	7038	395180
175	7081	395264
176	7113	394786
177	7144	394243
178	7179	393924
179	7215	393628
180	7252	393459
181	7286	393056
182	7323	392844
183	7357	392501
184	7394	392326
185	7424	391738
186	7457	391325
187	7490	390930
188	7523	390541
189	7556	390166
190	7591	389854
191	7645	390573
192	7713	391938
193	7751	391825
194	7783	391372
195	7825	391443
196	7858	391033
197	7888	390534
198	7919	390061
199	7950	389580
200	7981	389090
201	8013	388688
202	8046	388350
203	8086	388331
204	8120	388010
205	8154	387706
206	8188	387370
207	8227	387343
208	8261	387036
209	8297	386840
210	8332	386560
211	8363	386134
212	8394	385708
213	8424	385226
214	8455	384802
215	8496	384875
216	8536	384864
217	8599	385883
218	8639	385852
219	8680	385870
220	8726	386129
221	8826	388742
222	8879	389287
223	8911	388907
224	8944	388599
225	8975	388179
226	9010	387925
227	9042	387577
228	9073	387150
229	9107	386863
230	9140	386560
231	9174	386284
232	9206	385933
233	9239	385623
234	9273	385363
235	9315	385428
236	9349	385151
237	9384	384928
238	9419	384683
239	9456	384562
240	9489	384249
241	9520	383902
242	9552	383537
243	9584	383238
244	9619	382993
245	9651	382685
246	9684	382406
247	9717	382113
248	9749	381795
249	9780	381444
250	9812	381116
251	9834	380428
252	9873	380387
253	9986	383192
254	10028	383242
255	10064	383098
256	10102	382998
257	10134	382692
258	10165	382342
259	10197	382015
260	10224	381504
261	10255	381171
262	10286	380829
263	10325	380794
264	10356	380460
265	10390	380230
266	10422	379942
267	10454	379621
268	10488	379429
269	10521	379168
270	10551	378808
271	10582	378483
272	10616	378271
273	10649	378018
274	10685	377863
275	10733	378161
276	10769	378020
277	10807	377943
278	10840	377700
279	10874	377505
280	10908	377282
281	10941	377064
282	10975	376856
283	11062	378450
284	11109	378687
285	11176	379607
286	11263	381208
287	11315	381573
288	11347	381307
289	11379	381002
290	11410	380695
291	11440	380369
292	11474	380131
293	11507	379907
294	11540	379666
295	11569	379286
296	11602	379052
297	11640	378971
298	11726	380473
299	11790	381214
