iter	Passed	Remaining
300	11824	381002
301	11858	380814
302	11895	380693
303	11933	380601
304	11977	380733
305	12020	380810
306	12048	380397
307	12110	381074
308	12223	383350
309	12261	383266
310	12304	383334
311	12342	383238
312	12377	383084
313	12418	383081
314	12454	382940
315	12489	382734
316	12525	382610
317	12561	382446
318	12599	382355
319	12646	382563
320	12686	382540
321	12729	382599
322	12763	382387
323	12797	382189
324	12832	382006
325	12866	381817
326	12910	381917
327	12945	381738
328	12982	381631
329	13022	381608
330	13063	381609
331	13107	381694
332	13145	381624
333	13180	381435
334	13250	382286
335	13355	384127
336	13389	383924
337	13424	383753
338	13459	383584
339	13501	383600
340	13540	383528
341	13578	383448
342	13621	383500
343	13659	383432
344	13695	383266
345	13733	383188
346	13774	383174
347	13812	383088
348	13846	382912
349	13885	382841
350	13919	382656
351	13955	382515
352	13995	382471
353	14034	382423
354	14075	382427
355	14125	382658
356	14191	383340
357	14247	383723
358	14287	383680
359	14332	383794
360	14434	385405
361	14473	385342
362	14505	385099
363	14538	384865
364	14571	384638
365	14609	384561
366	14650	384551
367	14690	384520
368	14728	384415
369	14771	384465
370	14803	384213
371	14836	383983
372	14866	383706
373	14898	383464
374	14929	383194
375	14945	382532
376	14975	382243
377	15040	382852
378	15115	383719
379	15188	384505
380	15263	385348
381	15390	387496
382	15603	391798
383	15653	391998
384	15701	392138
385	15726	391694
386	15757	391423
387	15774	390793
388	15806	390530
389	15836	390217
390	15867	389956
391	15900	389715
392	15941	389684
393	15979	389596
394	16023	389644
395	16164	392034
396	16208	392061
397	16311	393526
398	16361	393699
399	16410	393860
400	16457	393958
401	16774	400497
402	16861	401549
403	16930	402141
404	16973	402135
405	17014	402062
406	17064	402221
407	17108	402211
408	17165	402524
409	17205	402438
410	17221	401789
411	17256	401593
412	17296	401495
413	17329	401265
414	17367	401118
415	17404	400965
416	17441	400827
417	17475	400593
418	17510	400392
419	17544	400182
420	17578	399952
421	17609	399676
422	17641	399409
423	17683	399374
424	17719	399207
425	17756	399061
426	17793	398906
427	17831	398801
428	17872	398727
429	17909	398596
430	17993	399482
431	18039	399534
432	18072	399310
433	18122	399453
434	18164	399413
435	18202	399294
436	18240	399167
437	18280	399072
438	18309	398759
439	18339	398478
440	18373	398260
441	18406	398036
442	18439	397798
443	18469	397508
444	18499	397213
445	18539	397134
446	18569	396852
447	18601	396608
448	18633	396357
449	18677	396377
450	18729	396549
451	18776	396625
452	18813	396497
453	18847	396293
454	18880	396076
455	18913	395850
456	18949	395695
457	18982	395488
458	19024	395461
459	19130	396740
460	19165	396575
461	19201	396421
462	19235	396217
463	19272	396077
464	19308	395938
465	19343	395754
466	19375	395510
467	19406	395268
468	19437	395016
469	19473	394848
470	19517	394859
471	19552	394703
472	19586	394512
473	19622	394358
474	19656	394160
475	19689	393956
476	19723	393774
477	19759	393619
478	19795	393465
479	19839	393473
480	19876	393348
481	19910	393175
482	19945	393004
483	19982	392873
484	20016	392700
485	20050	392513
486	20081	392272
487	20114	392072
488	20162	392151
489	20235	392726
490	20270	392565
491	20303	392362
492	20335	392151
493	20365	391883
494	20402	391770
495	20439	391653
496	20475	391497
497	20511	391362
498	20551	391306
499	20588	391176
500	20622	391008
501	20659	390879
502	20692	390692
503	20723	390461
504	20755	390235
505	20788	390058
506	20828	389998
507	20860	389771
508	20888	389499
509	20920	389289
510	20949	389013
511	20982	388839
512	21015	388642
513	21045	388390
514	21075	388165
515	21105	387915
516	21118	387362
517	21150	387158
518	21183	386984
519	21262	387629
520	21341	388289
521	21377	388153
522	21410	387969
523	21443	387791
524	21479	387654
525	21513	387483
526	21546	387301
527	21579	387131
528	21610	386913
529	21629	386465
530	21660	386251
531	21706	386306
532	21739	386132
533	21776	386020
534	21811	385881
535	21843	385686
536	21872	385443
537	21903	385221
538	21933	384996
539	21963	384763
540	21995	384583
541	22027	384379
542	22062	384238
543	22104	384223
544	22139	384083
545	22174	383955
546	22205	383749
547	22235	383516
548	22273	383444
549	22303	383211
550	22334	383009
551	22375	382974
552	22457	383642
553	22509	383803
